id_transaccion,fecha,categoria,monto,cantidad,region,descuento
1,2024-04-12,Deportes,7920.41,34.0,,0.19
2,2025-03-11,Ropa,598.76,64.0,Oeste,
3,2024-09-27,Ropa,8832.07,17.0,Norte,0.08
4,2024-04-16,Ropa,6741.91,51.0,Oeste,0.2
5,2024-03-12,Ropa,3703.17,56.0,Norte,0.06
6,2025-12-01,Electrónica,1905.48,89.0,Este,0.43
7,2024-01-21,Deportes,8165.51,94.0,,0.29
8,2025-09-06,Electrónica,6032.8,48.0,Oeste,0.07
9,2024-05-01,Hogar,3604.79,100.0,,0.44
10,2025-04-11,Hogar,4438.91,62.0,Oeste,0.04
11,2024-08-02,Deportes,8265.59,56.0,Norte,0.46
12,2024-11-26,Hogar,3389.93,11.0,Centro,0.05
13,2025-04-03,Ropa,897.24,85.0,Oeste,0.36
14,2024-03-28,Electrónica,9112.9,20.0,Este,0.32
15,2025-01-07,Ropa,3874.05,93.0,Este,0.39
16,2024-04-09,,3484.52,68.0,Centro,0.28
17,2025-10-25,,2044.79,34.0,Norte,0.17
18,2024-05-10,Ropa,8974.32,42.0,Sur,0.14
19,2025-10-23,Deportes,2175.83,41.0,,0.47
20,2024-11-04,Ropa,6367.09,62.0,Oeste,0.22
21,2026-02-08,Hogar,8807.76,17.0,Este,0.42
22,2024-12-09,Electrónica,350.1,12.0,Este,0.36
23,2025-05-06,Deportes,8288.08,68.0,Norte,0.33
24,2025-02-17,Electrónica,4106.58,41.0,Norte,0.49
25,2025-01-20,Deportes,6580.08,14.0,Oeste,0.28
26,2024-07-10,Electrónica,3724.67,,Norte,0.37
27,2024-10-03,Hogar,6955.46,98.0,Centro,0.42
28,2024-06-09,Deportes,2543.69,82.0,Centro,0.02
29,2025-04-04,Alimentos,,77.0,Sur,
30,2024-11-09,Electrónica,,74.0,Este,
31,2024-01-22,Electrónica,164.66,14.0,Oeste,0.35
32,2024-09-09,Ropa,8241.16,9.0,Oeste,0.48
33,2026-01-17,Deportes,1692.21,43.0,Norte,0.38
34,2025-07-14,Alimentos,3922.81,20.0,Este,0.11
35,2025-04-19,Hogar,8225.09,1.0,Sur,0.18
36,2024-02-28,Ropa,2060.11,93.0,Sur,
37,2025-05-25,Alimentos,8657.2,81.0,Sur,
38,2025-11-12,Deportes,4978.09,72.0,,0.3
39,2025-04-20,Alimentos,3662.16,17.0,Sur,0.39
40,2025-11-30,Electrónica,6624.71,85.0,Centro,0.43
41,2026-02-21,Electrónica,3414.55,89.0,Norte,0.04
42,2024-07-08,Ropa,3473.53,,Sur,
43,2025-11-17,Deportes,7335.52,59.0,Centro,0.17
44,2025-07-16,Deportes,3099.01,89.0,Centro,0.01
45,2025-07-20,Alimentos,2008.52,85.0,Oeste,0.21
46,2024-08-31,Ropa,8076.65,13.0,,0.18
47,2025-05-19,Deportes,8053.9,77.0,Oeste,0.26
48,2024-05-10,Electrónica,4976.35,47.0,Este,0.05
49,2025-04-29,Alimentos,5267.02,50.0,Centro,0.21
50,2025-10-08,Hogar,6961.06,94.0,,0.3
51,2024-01-21,Electrónica,5093.23,77.0,Norte,0.4
52,2024-06-15,,4170.98,40.0,Centro,0.38
53,2024-09-30,Deportes,9948.94,7.0,Sur,0.2
54,2025-01-22,Electrónica,1477.26,55.0,Norte,0.19
55,2025-08-23,Hogar,5927.68,51.0,Sur,0.02
56,2024-11-11,,8858.74,76.0,Este,0.04
57,2024-01-14,Ropa,6872.46,2.0,Sur,0.44
58,2024-08-29,Electrónica,8809.34,14.0,Sur,0.4
59,2026-02-15,Alimentos,3364.01,17.0,Este,0.01
60,2024-12-11,,2720.66,,Este,0.44
61,2025-07-18,Hogar,8512.86,,Sur,0.31
62,2024-12-05,Ropa,3941.75,1.0,Centro,0.4
63,2024-04-01,,7097.11,,Centro,0.25
64,2025-01-01,Alimentos,1478.34,46.0,Oeste,0.08
65,2025-03-30,Ropa,7558.62,13.0,Oeste,
66,2025-03-03,Ropa,5490.27,34.0,Este,0.23
67,2025-05-23,Ropa,2686.85,62.0,Norte,0.38
68,2026-02-14,Ropa,4945.54,73.0,Sur,0.41
69,2024-02-04,,6969.73,51.0,Este,0.37
70,2024-07-24,Hogar,119.85,83.0,Este,0.24
71,2024-03-21,Electrónica,6375.03,87.0,Este,0.33
72,2025-07-15,Deportes,5416.36,41.0,,0.15
73,2025-01-22,Ropa,2203.64,55.0,Norte,0.49
74,2024-01-02,Deportes,7530.05,28.0,Centro,0.08
75,2025-01-24,Deportes,3035.3,,Oeste,0.36
76,2025-07-19,Hogar,2769.33,61.0,,0.08
77,2024-04-15,,4712.71,7.0,Centro,0.14
78,2026-02-10,Deportes,6761.81,78.0,,0.37
79,2025-04-21,Ropa,9288.52,2.0,Norte,0.36
80,2025-12-03,Alimentos,1414.43,76.0,,0.06
81,2025-02-05,Alimentos,3965.28,2.0,Centro,0.34
82,2025-12-30,Alimentos,,28.0,Norte,0.1
83,2025-07-09,,7585.74,54.0,Sur,0.49
84,2024-06-10,Alimentos,4477.88,,Este,
85,2024-07-20,Hogar,7069.58,76.0,Norte,0.0
86,2024-09-26,,3222.62,94.0,Oeste,0.1
87,2024-09-27,Deportes,8443.32,58.0,Sur,0.11
88,2025-03-31,Ropa,5348.74,47.0,Sur,0.12
89,2025-04-06,Electrónica,,61.0,Este,0.28
90,2025-12-27,,789.07,40.0,,0.1
91,2024-09-08,Ropa,5143.25,86.0,Centro,0.21
92,2025-12-02,Ropa,7664.78,,Norte,0.09
93,2024-10-22,Ropa,6001.92,14.0,Este,0.33
94,2025-12-25,Electrónica,232.92,,Oeste,0.28
95,2025-12-20,Alimentos,9723.4,10.0,Sur,0.31
96,2026-01-18,Ropa,2983.34,,Sur,0.48
97,2024-12-03,,2493.53,48.0,Sur,0.2
98,2024-02-22,Deportes,4857.11,48.0,Oeste,0.11
99,2026-03-02,Deportes,5422.03,61.0,Oeste,0.5
100,2024-08-04,Hogar,7663.11,53.0,Centro,0.03
101,2026-02-02,Ropa,3933.34,,Norte,0.41
102,2024-07-06,Electrónica,4400.16,11.0,Sur,0.08
103,2025-01-14,Alimentos,5350.06,27.0,Centro,
104,2025-05-07,Deportes,3944.47,59.0,Oeste,0.24
105,2024-02-10,Alimentos,9145.56,,Centro,0.42
106,2024-06-05,Electrónica,8512.66,13.0,Sur,0.37
107,2024-01-15,Deportes,4550.28,65.0,Norte,0.09
108,2024-03-05,,2.95,11.0,Centro,0.33
109,2025-06-04,,9009.44,57.0,Oeste,0.11
110,2024-12-09,,1244.24,67.0,Este,0.08
111,2024-05-08,Ropa,2445.88,66.0,Este,0.04
112,2025-10-09,,1524.46,24.0,,
113,2025-04-16,Alimentos,1798.97,84.0,Oeste,0.35
114,2024-03-03,Ropa,8028.96,49.0,Centro,0.5
115,2024-05-18,,5795.43,40.0,Centro,0.34
116,2025-05-13,Electrónica,9560.99,79.0,Este,0.35
117,2025-08-15,Hogar,,70.0,Centro,0.39
118,2025-01-26,Deportes,4856.86,84.0,Este,0.44
119,2025-11-05,Electrónica,9774.3,86.0,Oeste,0.13
120,2025-02-22,Ropa,8264.6,2.0,Oeste,0.3
121,2024-10-15,,7286.42,54.0,Oeste,0.11
122,2025-01-13,Electrónica,1890.56,15.0,Este,
123,2026-02-11,Hogar,7694.28,48.0,Sur,0.1
124,2025-05-04,Deportes,3476.3,98.0,Sur,0.03
125,2024-08-18,Alimentos,5305.83,54.0,Sur,0.04
